🍄 Mycelia v7.3 loaded

======================================================================
🍄 MYCELIA FINAL TRAINING v8.0
   Stanford (30%) + FineWeb (70%) | No compression
======================================================================

📚 Loading tokenizer...
   Vocab: 151,643

🏗️ Building model...
   181,051,920 params on cuda:0

🔥 Scheduler: peak=3.00e-04 | min=1.00e-05 | warmup=100 | total=610,351

======================================================================
🏆 BEST CHECKPOINT
======================================================================
   ✅ Model loaded
   🔥 Warm-started input_pos

   📊 Resumed: step=1,219,000 | epoch=30 | loss=4.3306
   🏆 Best loss: 4.3306
   📈 Extended training plan: 2,327,649 total steps
   🚀 LR BURST: Injecting peak LR=3.00e-04 for 500 steps
   🔥 Scheduler reset: step=1219000 | LR=3.00e-04 | 📉 Annealing
   🚀 LR BURST ACTIVE: steps 1,219,000 → 1,219,500
   ✅ Optimizer restored

📖 Loading datasets...
   📥 Loading FineWeb chunks...
   📚 Loading 500 chunks...
      100 chunks (100,000,000 tokens, 0.40 GB)
      200 chunks (200,000,000 tokens, 0.80 GB)
      300 chunks (300,000,000 tokens, 1.20 GB)
      400 chunks (400,000,000 tokens, 1.60 GB)
      500 chunks (500,000,000 tokens, 2.00 GB)
   ✅ 500 arrays | 500,000,000 tokens | 2.00 GB
   ✅ Data ready

⏱️  Tracker: 8,192 tok/step | 10.0B total

======================================================================
🚀 EPOCH 31 — STEP 1,219,000
======================================================================

Training: 1219000it [00:00, ?it/s]   FCA: α_attn_eff=1.5375 α_ffn_eff=2.5371 φ_l=0.0368 scale=0.9878

⏱️  Step 1,219,000 | 620371899 tok/s | 9.99/10.0 GB | 100.0% | ETA N/A | Elapsed 0:00:16

📊 Step 1,219,000 | Loss: 5.0158 | LR: 3.00e-04 | 📉 Annealing 🚀 BURST
   Coherence: 0.9486 📈
   Friction: 🟢 HARMONIZED | early=0.85 late=1.78 Δ=-0.93
Training: 1219001it [00:16, 16.29s/it]   FCA: α_attn_eff=1.5375 α_ffn_eff=2.5371 φ_l=0.0368 scale=0.9878
Training: 1219002it [00:16,  6.79s/it]   FCA: α_attn_eff=1.5302 α_ffn_eff=2.5250 φ_l=0.0368 scale=0.9831
Training: 1219003it [00:16,  3.75s/it]   FCA: α_attn_eff=1.5463 α_ffn_eff=2.5516 φ_l=0.0368 scale=0.9934
Training: 1219004it [00:16,  2.32s/it]   FCA: α_attn_eff=1.5419 α_ffn_eff=2.5443 φ_l=0.0368 scale=0.9906
Training: 1219005it [00:16,  1.53s/it]   FCA: α_attn_eff=1.5405 α_ffn_eff=2.5419 φ_l=0.0368 scale=0.9897
Training: 1219006it [00:16,  1.05s/it]   FCA: α_attn_eff=1.5288 α_ffn_eff=2.5226 φ_l=0.0368 scale=0.9821
Training: 1219007it [00:17,  1.33it/s]   FCA: α_attn_eff=1.5375 α_ffn_eff=2.5371 φ_l=0.0368 scale=0.9878
Training: 1219008it [00:17,  1.61it/s]   FCA: α_attn_eff=1.5332 α_ffn_eff=2.5299 φ_l=0.0368 scale=0.9849
Training: 1219009it [00:17,  2.15it/s]   FCA: α_attn_eff=1.5229 α_ffn_eff=2.5130 φ_l=0.0368 scale=0.9784
Training: 1219010it [00:17,  2.76it/s]   FCA: α_attn_eff=1.5317 α_ffn_eff=2.5275 φ_l=0.0368 scale=0.9840
Training: 1219011it [00:17,  3.43it/s]   FCA: α_attn_eff=1.5317 α_ffn_eff=2.5275 φ_l=0.0368 scale=0.9840
Training: 1219012it [00:17,  4.14it/s]   FCA: α_attn_eff=1.5288 α_ffn_eff=2.5227 φ_l=0.0368 scale=0.9821
Training: 1219013it [00:18,  4.81it/s]   FCA: α_attn_eff=1.5200 α_ffn_eff=2.5082 φ_l=0.0368 scale=0.9765
Training: 1219014it [00:18,  5.42it/s]   FCA: α_attn_eff=1.5390 α_ffn_eff=2.5396 φ_l=0.0368 scale=0.9887
Training: 1219015it [00:18,  5.97it/s]   FCA: α_attn_eff=1.5390 α_ffn_eff=2.5396 φ_l=0.0368 scale=0.9887
Training: 1219016it [00:18,  5.61it/s]   FCA: α_attn_eff=1.5405 α_ffn_eff=2.5421 φ_l=0.0368 scale=0.9897
Training: 1219017it [00:18,  6.22it/s]   FCA: α_attn_eff=1.5332 α_ffn_eff=2.5300 φ_l=0.0368 scale=0.9849
Training: 1219018it [00:18,  6.57it/s]   FCA: α_attn_eff=1.5288 α_ffn_eff=2.5228 φ_l=0.0368 scale=0.9821
Training: 1219019it [00:18,  6.88it/s]   FCA: α_attn_eff=1.5493 α_ffn_eff=2.5566 φ_l=0.0368 scale=0.9953
Training: 1219020it [00:19,  7.12it/s]   FCA: α_attn_eff=1.5435 α_ffn_eff=2.5470 φ_l=0.0368 scale=0.9915
Training: 1219021it [00:19,  7.27it/s]   FCA: α_attn_eff=1.5479 α_ffn_eff=2.5542 φ_l=0.0368 scale=0.9944
Training: 1219022it [00:19,  7.40it/s]   FCA: α_attn_eff=1.5405 α_ffn_eff=2.5421 φ_l=0.0368 scale=0.9897
Training: 1219023it [00:19,  7.49it/s]   FCA: α_attn_eff=1.5361 α_ffn_eff=2.5349 φ_l=0.0368 scale=0.9868
Training: 1219024it [00:19,  6.43it/s]   FCA: α_attn_eff=1.5318 α_ffn_eff=2.5277 φ_l=0.0368 scale=0.9840
Training: 1219025it [00:19,  6.87it/s]   FCA: α_attn_eff=1.5304 α_ffn_eff=2.5253 φ_l=0.0368 scale=0.9831
Training: 1219026it [00:19,  7.06it/s]   FCA: α_attn_eff=1.5450 α_ffn_eff=2.5495 φ_l=0.0368 scale=0.9925
Training: 1219027it [00:20,  7.21it/s]   FCA: α_attn_eff=1.5304 α_ffn_eff=2.5253 φ_l=0.0368 scale=0.9831
Training: 1219028it [00:20,  7.37it/s]   FCA: α_attn_eff=1.5186 α_ffn_eff=2.5060 φ_l=0.0368 scale=0.9755
Training: 1219029it [00:20,  7.44it/s]   FCA: α_attn_eff=1.5318 α_ffn_eff=2.5277 φ_l=0.0368 scale=0.9840
Training: 1219030it [00:20,  7.48it/s]   FCA: α_attn_eff=1.5391 α_ffn_eff=2.5398 φ_l=0.0368 scale=0.9887
Training: 1219031it [00:20,  7.54it/s]   FCA: α_attn_eff=1.5450 α_ffn_eff=2.5495 φ_l=0.0368 scale=0.9925
Training: 1219032it [00:20,  6.50it/s]   FCA: α_attn_eff=1.5465 α_ffn_eff=2.5520 φ_l=0.0368 scale=0.9934
Training: 1219033it [00:20,  6.93it/s]   FCA: α_attn_eff=1.5421 α_ffn_eff=2.5447 φ_l=0.0368 scale=0.9906
Training: 1219034it [00:20,  7.13it/s]   FCA: α_attn_eff=1.5465 α_ffn_eff=2.5520 φ_l=0.0368 scale=0.9934
Training: 1219035it [00:21,  7.30it/s]   FCA: α_attn_eff=1.5231 α_ffn_eff=2.5133 φ_l=0.0368 scale=0.9784
Training: 1219036it [00:21,  7.39it/s]   FCA: α_attn_eff=1.5465 α_ffn_eff=2.5520 φ_l=0.0368 scale=0.9934
Training: 1219037it [00:21,  7.50it/s]   FCA: α_attn_eff=1.5392 α_ffn_eff=2.5399 φ_l=0.0368 scale=0.9887
Training: 1219038it [00:21,  7.51it/s]   FCA: α_attn_eff=1.5465 α_ffn_eff=2.5520 φ_l=0.0368 scale=0.9934
Training: 1219039it [00:21,  7.54it/s]   FCA: α_attn_eff=1.5129 α_ffn_eff=2.4964 φ_l=0.0368 scale=0.9718
Training: 1219040it [00:21,  6.48it/s]   FCA: α_attn_eff=1.5364 α_ffn_eff=2.5351 φ_l=0.0368 scale=0.9868
Training: 1219041it [00:21,  6.92it/s]   FCA: α_attn_eff=1.5437 α_ffn_eff=2.5472 φ_l=0.0368 scale=0.9915
Training: 1219042it [00:22,  7.10it/s]   FCA: α_attn_eff=1.5378 α_ffn_eff=2.5375 φ_l=0.0368 scale=0.9878
Training: 1219043it [00:22,  7.29it/s]   FCA: α_attn_eff=1.5349 α_ffn_eff=2.5327 φ_l=0.0368 scale=0.9859
Training: 1219044it [00:22,  7.42it/s]   FCA: α_attn_eff=1.5246 α_ffn_eff=2.5158 φ_l=0.0368 scale=0.9793
Training: 1219045it [00:22,  7.48it/s]   FCA: α_attn_eff=1.5364 α_ffn_eff=2.5351 φ_l=0.0368 scale=0.9868
Training: 1219046it [00:22,  7.56it/s]   FCA: α_attn_eff=1.5408 α_ffn_eff=2.5424 φ_l=0.0368 scale=0.9897
Training: 1219047it [00:22,  7.59it/s]   FCA: α_attn_eff=1.5525 α_ffn_eff=2.5617 φ_l=0.0368 scale=0.9972
Training: 1219048it [00:22,  6.50it/s]   FCA: α_attn_eff=1.5526 α_ffn_eff=2.5618 φ_l=0.0368 scale=0.9972
Training: 1219049it [00:23,  6.91it/s]   FCA: α_attn_eff=1.5321 α_ffn_eff=2.5279 φ_l=0.0368 scale=0.9840
Training: 1219050it [00:23,  7.12it/s]   FCA: α_attn_eff=1.5365 α_ffn_eff=2.5352 φ_l=0.0368 scale=0.9868
Training: 1219051it [00:23,  7.29it/s]   FCA: α_attn_eff=1.5423 α_ffn_eff=2.5448 φ_l=0.0368 scale=0.9906
Training: 1219052it [00:23,  7.36it/s]   FCA: α_attn_eff=1.5438 α_ffn_eff=2.5473 φ_l=0.0368 scale=0.9915
Training: 1219053it [00:23,  7.42it/s]   FCA: α_attn_eff=1.5365 α_ffn_eff=2.5352 φ_l=0.0368 scale=0.9868
Training: 1219054it [00:23,  7.43it/s]   FCA: α_attn_eff=1.5350 α_ffn_eff=2.5328 φ_l=0.0368 scale=0.9859
Training: 1219055it [00:23,  7.47it/s]   FCA: α_attn_eff=1.5218 α_ffn_eff=2.5110 φ_l=0.0368 scale=0.9774
Training: 1219056it [00:24,  6.43it/s]   FCA: α_attn_eff=1.5395 α_ffn_eff=2.5400 φ_l=0.0368 scale=0.9887
Training: 1219057it [00:24,  6.91it/s]   FCA: α_attn_eff=1.5527 α_ffn_eff=2.5618 φ_l=0.0368 scale=0.9972
Training: 1219058it [00:24,  7.14it/s]   FCA: α_attn_eff=1.5380 α_ffn_eff=2.5376 φ_l=0.0368 scale=0.9878
Training: 1219059it [00:24,  7.31it/s]   FCA: α_attn_eff=1.5439 α_ffn_eff=2.5473 φ_l=0.0368 scale=0.9915
Training: 1219060it [00:24,  7.41it/s]   FCA: α_attn_eff=1.5380 α_ffn_eff=2.5376 φ_l=0.0368 scale=0.9878
Training: 1219061it [00:24,  7.47it/s]   FCA: α_attn_eff=1.5380 α_ffn_eff=2.5376 φ_l=0.0368 scale=0.9878
Training: 1219062it [00:24,  7.51it/s]   FCA: α_attn_eff=1.5278 α_ffn_eff=2.5207 φ_l=0.0368 scale=0.9812
Training: 1219063it [00:24,  7.57it/s]   FCA: α_attn_eff=1.5483 α_ffn_eff=2.5545 φ_l=0.0368 scale=0.9944
Training: 1219064it [00:25,  6.51it/s]   FCA: α_attn_eff=1.5323 α_ffn_eff=2.5279 φ_l=0.0368 scale=0.9840
Training: 1219065it [00:25,  6.92it/s]   FCA: α_attn_eff=1.5411 α_ffn_eff=2.5424 φ_l=0.0368 scale=0.9897
Training: 1219066it [00:25,  7.14it/s]   FCA: α_attn_eff=1.5425 α_ffn_eff=2.5448 φ_l=0.0368 scale=0.9906
Training: 1219067it [00:25,  7.31it/s]   FCA: α_attn_eff=1.5513 α_ffn_eff=2.5593 φ_l=0.0368 scale=0.9962
Training: 1219068it [00:25,  7.43it/s]   FCA: α_attn_eff=1.5425 α_ffn_eff=2.5448 φ_l=0.0368 scale=0.9906
Training: 1219069it [00:25,  7.52it/s]   FCA: α_attn_eff=1.5381 α_ffn_eff=2.5376 φ_l=0.0368 scale=0.9878
Training: 1219070it [00:25,  7.56it/s]   FCA: α_attn_eff=1.5206 α_ffn_eff=2.5086 φ_l=0.0368 scale=0.9765
Training: 1219071it [00:26,  7.60it/s]   FCA: α_attn_eff=1.5323 α_ffn_eff=2.5279 φ_l=0.0368 scale=0.9840
Training: 1219072it [00:26,  6.52it/s]   FCA: α_attn_eff=1.5485 α_ffn_eff=2.5544 φ_l=0.0368 scale=0.9944
Training: 1219073it [00:26,  6.98it/s]   FCA: α_attn_eff=1.5485 α_ffn_eff=2.5544 φ_l=0.0368 scale=0.9944
Training: 1219074it [00:26,  7.15it/s]   FCA: α_attn_eff=1.5368 α_ffn_eff=2.5351 φ_l=0.0368 scale=0.9868
Training: 1219075it [00:26,  7.27it/s]   FCA: α_attn_eff=1.5500 α_ffn_eff=2.5568 φ_l=0.0368 scale=0.9953
Training: 1219076it [00:26,  7.41it/s]   FCA: α_attn_eff=1.5427 α_ffn_eff=2.5448 φ_l=0.0368 scale=0.9906
Training: 1219077it [00:26,  7.49it/s]   FCA: α_attn_eff=1.5456 α_ffn_eff=2.5496 φ_l=0.0368 scale=0.9925
Training: 1219078it [00:27,  7.54it/s]   FCA: α_attn_eff=1.5427 α_ffn_eff=2.5448 φ_l=0.0368 scale=0.9906
Training: 1219079it [00:27,  7.61it/s]   FCA: α_attn_eff=1.5368 α_ffn_eff=2.5351 φ_l=0.0368 scale=0.9868
Training: 1219080it [00:27,  6.49it/s]   FCA: α_attn_eff=1.5501 α_ffn_eff=2.5568 φ_l=0.0368 scale=0.9953
Training: 1219081it [00:27,  6.95it/s]   FCA: α_attn_eff=1.5501 α_ffn_eff=2.5568 φ_l=0.0368 scale=0.9953
Training: 1219082it [00:27,  7.15it/s]   FCA: α_attn_eff=1.5413 α_ffn_eff=2.5423 φ_l=0.0368 scale=0.9897
Training: 1219083it [00:27,  7.31it/s]   FCA: α_attn_eff=1.5428 α_ffn_eff=2.5447 φ_l=0.0368 scale=0.9906
Training: 1219084it [00:27,  7.40it/s]   FCA: α_attn_eff=1.5325 α_ffn_eff=2.5278 φ_l=0.0368 scale=0.9840
Training: 1219085it [00:28,  7.51it/s]   FCA: α_attn_eff=1.5428 α_ffn_eff=2.5447 φ_l=0.0368 scale=0.9906
Training: 1219086it [00:28,  7.53it/s]   FCA: α_attn_eff=1.5384 α_ffn_eff=2.5374 φ_l=0.0368 scale=0.9878
Training: 1219087it [00:28,  7.53it/s]   FCA: α_attn_eff=1.5340 α_ffn_eff=2.5302 φ_l=0.0368 scale=0.9849
Training: 1219088it [00:28,  6.49it/s]   FCA: α_attn_eff=1.5282 α_ffn_eff=2.5204 φ_l=0.0368 scale=0.9812
Training: 1219089it [00:28,  6.93it/s]   FCA: α_attn_eff=1.5443 α_ffn_eff=2.5470 φ_l=0.0368 scale=0.9915
Training: 1219090it [00:28,  7.15it/s]   FCA: α_attn_eff=1.5311 α_ffn_eff=2.5253 φ_l=0.0368 scale=0.9831
Training: 1219091it [00:28,  7.28it/s]   FCA: α_attn_eff=1.5267 α_ffn_eff=2.5180 φ_l=0.0368 scale=0.9802
Training: 1219092it [00:29,  7.35it/s]   FCA: α_attn_eff=1.5399 α_ffn_eff=2.5398 φ_l=0.0368 scale=0.9887
Training: 1219093it [00:29,  7.46it/s]   FCA: α_attn_eff=1.5385 α_ffn_eff=2.5374 φ_l=0.0368 scale=0.9878
Training: 1219094it [00:29,  7.51it/s]   FCA: α_attn_eff=1.5429 α_ffn_eff=2.5446 φ_l=0.0368 scale=0.9906
Training: 1219095it [00:29,  7.55it/s]   FCA: α_attn_eff=1.5517 α_ffn_eff=2.5591 φ_l=0.0368 scale=0.9962
Training: 1219096it [00:29,  6.50it/s]   FCA: α_attn_eff=1.5357 α_ffn_eff=2.5325 φ_l=0.0368 scale=0.9859
Training: 1219097it [00:29,  6.96it/s]   FCA: α_attn_eff=1.5489 α_ffn_eff=2.5543 φ_l=0.0368 scale=0.9944
Training: 1219098it [00:29,  7.14it/s]   FCA: α_attn_eff=1.5576 α_ffn_eff=2.5687 φ_l=0.0368 scale=1.0000
Training: 1219099it [00:30,  7.27it/s]   FCA: α_attn_eff=1.5313 α_ffn_eff=2.5253 φ_l=0.0368 scale=0.9831
